participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,84,64,8,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,-1,1,0,0,1,0,1,1,0,-1,0,0,0,1
2,2,2,80,60,5,1,0,1,1,0,1,1,1,1,-1,1,0,-1,1,1,1,1,1,0,1,1,1,0,-1,1,1,1,1,0,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,-1,1,1,0,0,,,,
3,2,6,80,63,8,1,-1,1,1,0,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,-1,1,0,0,1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,1,,,,
4,1,2,83,44,27,0,0,1,1,-1,-1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,1,1,0,-1,1,1,1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,1,1,1,-1,0,1,1,1,-1,1,0,1,1,1,-1,-1,-1,-1,0,1,-1,0,-1,0,1,1,0,1,0,1,1,-1,1,1,0,-1,-1,0,-1,-1,1,1,1,-1,-1,
5,0,2,34,17,5,0,0,1,0,-1,-1,0,1,1,1,-1,1,1,1,-1,1,1,1,0,1,1,1,0,0,0,1,-1,1,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,4,80,43,16,0,-1,1,1,-1,0,-1,0,0,1,1,-1,-1,1,0,0,1,0,1,1,-1,1,,1,-1,1,1,1,0,1,1,1,1,1,0,-1,1,1,0,0,0,-1,1,-1,-1,1,-1,1,0,1,1,1,1,1,1,0,1,0,1,-1,1,-1,1,0,1,1,1,1,1,1,1,1,0,-1,1,0,0,0,-1,0,1,,,
7,2,0,16,13,1,,,1,1,-1,,1,1,1,1,,,0,1,1,,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,1,41,31,6,1,-1,1,1,-1,1,1,1,,-1,1,-1,-1,,1,1,1,1,1,-1,1,,,,1,1,1,1,,,,,,,1,,,,1,0,,1,0,,0,1,,,,1,,1,1,1,,1,,1,,,1,,1,1,,,,,,,,,0,,1,,,,,,,,,
9,0,7,81,48,10,0,-1,1,-1,-1,1,1,1,0,0,1,0,-1,1,1,-1,-1,1,0,1,0,1,0,1,0,1,1,-1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,-1,-1,1,0,0,1,-1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,,,
10,2,1,83,49,9,1,-1,1,1,-1,-1,1,1,1,-1,1,0,-1,1,-1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,-1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,-1,0,-1,1,
11,2,1,82,60,6,1,0,1,1,-1,1,0,1,1,-1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,-1,1,-1,,
12,0,4,81,36,13,0,-1,1,0,-1,1,1,0,1,0,1,-1,-1,1,1,0,1,-1,0,1,1,1,,1,0,0,1,0,-1,0,0,1,1,1,-1,-1,0,1,1,0,0,0,1,-1,-1,1,0,1,0,-1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,-1,0,-1,,
13,0,1,83,32,10,0,-1,1,1,0,-1,1,0,1,0,0,-1,-1,1,1,1,1,1,0,1,1,0,1,-1,1,1,1,0,1,0,0,1,1,-1,0,0,0,1,0,0,1,-1,1,0,-1,1,0,1,1,0,0,0,0,1,0,-1,1,0,1,0,0,0,1,0,0,1,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
14,2,1,56,43,0,0,1,1,1,1,1,1,1,1,,1,0,,1,,1,1,1,1,1,0,,,0,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,0,0,,1,1,1,1,,,,1,1,0,1,1,1,1,1,1,0,,1,0,,1,,,0,,,0,0,1,,,0,,,,,,
15,0,0,36,14,2,0,1,1,0,-1,1,1,0,0,0,1,1,-1,1,1,0,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,0,,,,1,1,,,,,,,0,,0,,,,0,,0,,,,,,,0,,,,,0,,0,,,,,0,,,,,,,
16,2,0,81,68,5,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,,,
17,2,1,83,45,6,0,0,1,1,0,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,-1,0,-1,0,0,-1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,-1,0,0,1,1,0,0,1,0,0,1,-1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,
18,1,2,79,36,36,-1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,-1,1,0,-1,1,1,-1,0,1,,-1,-1,-1,1,-1,0,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,0,1,0,1,-1,0,0,-1,-1,-1,,,,
19,2,2,37,23,2,1,0,,0,-1,1,1,1,1,-1,1,0,,0,1,1,,,1,1,0,,,1,1,,,1,,,,,0,0,0,,,1,,0,,,,,,,,,,,0,,1,,1,,,,,,,,,0,1,,1,,,1,1,,1,1,,1,,0,,,,,,
20,2,2,81,66,3,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,,,
21,2,5,81,58,4,0,-1,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,,,
22,2,0,7,5,0,,1,,1,1,,,1,,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2,3,83,50,8,0,0,1,1,-1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,-1,0,1,1,1,1,0,1,1,1,-1,0,0,0,1,-1,0,1,1,0,-1,1,1,1,1,0,1,0,0,1,-1,0,1,0,0,0,1,0,1,
24,2,1,82,50,4,1,0,1,1,0,1,1,1,1,-1,1,1,-1,1,1,0,1,0,1,1,-1,1,,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,-1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,
